gene,n_mutated,n_controls,dead_mutated,dead_control,odds_ratio,p_value,risk_diff,q_value_BY,passed_screening
A1CF,6,961,1,132,1.256060606060606,0.5894569370555072,0.029309746791536584,0.03281302244589281,True
PPFIA2,12,955,1,132,0.5668044077134986,1.0,-0.05488656195462478,0.03281302244589281,True
PPFIA1,8,959,1,132,0.895021645021645,1.0,-0.012643378519290926,0.03281302244589281,True
PPEF2,7,960,1,132,1.0454545454545454,1.0,0.005357142857142838,0.03281302244589281,True
PPEF1,12,955,3,130,2.1153846153846154,0.2213189810954577,0.11387434554973822,0.03281302244589281,True
PPARGC1B,7,960,4,129,8.589147286821705,0.008583644826393578,0.4370535714285714,0.03281302244589281,True
PPARGC1A,9,958,2,131,1.8037077426390404,0.35719799997040946,0.08547900719090698,0.03281302244589281,True
PPFIA3,5,962,0,133,0.0,1.0,-0.13825363825363826,0.03281302244589281,True
PPARG,6,961,0,133,0.0,1.0,-0.1383975026014568,0.03281302244589281,True
POU5F2,5,962,1,132,1.571969696969697,0.5235917653165231,0.06278586278586279,0.03281302244589281,True
POU4F2,5,962,2,131,4.229007633587786,0.14189119174482176,0.2638253638253638,0.03281302244589281,True
POU3F4,8,959,0,133,0.0,0.6079548711090935,-0.1386861313868613,0.03281302244589281,True
POU2F2,5,962,0,133,0.0,1.0,-0.13825363825363826,0.03281302244589281,True
POTEF,6,961,0,133,0.0,1.0,-0.1383975026014568,0.03281302244589281,True
POTEA,5,962,0,133,0.0,1.0,-0.13825363825363826,0.03281302244589281,True
PPAN-P2RY11,6,961,0,133,0.0,1.0,-0.1383975026014568,0.03281302244589281,True
POSTN,7,960,1,132,1.0454545454545454,1.0,0.005357142857142838,0.03281302244589281,True
PPFIA4,5,962,0,133,0.0,1.0,-0.13825363825363826,0.03281302244589281,True
PPIG,5,962,0,133,0.0,1.0,-0.13825363825363826,0.03281302244589281,True
PPP1R3A,11,956,3,130,2.3826923076923077,0.1834411064790646,0.13674400912894635,0.03281302244589281,True
PPP1R32,5,962,2,131,4.229007633587786,0.14189119174482176,0.2638253638253638,0.03281302244589281,True
PPP1R21,6,961,1,132,1.256060606060606,0.5894569370555072,0.029309746791536584,0.03281302244589281,True
PPP1R15B,5,962,1,132,1.571969696969697,0.5235917653165231,0.06278586278586279,0.03281302244589281,True
PPP1R15A,5,962,0,133,0.0,1.0,-0.13825363825363826,0.03281302244589281,True
PPP1R13B,5,962,1,132,1.571969696969697,0.5235917653165231,0.06278586278586279,0.03281302244589281,True
PPFIBP1,7,960,1,132,1.0454545454545454,1.0,0.005357142857142838,0.03281302244589281,True
PPP1R12B,5,962,0,133,0.0,1.0,-0.13825363825363826,0.03281302244589281,True
PPP1R10,6,961,0,133,0.0,1.0,-0.1383975026014568,0.03281302244589281,True
PPM1F,5,962,1,132,1.571969696969697,0.5235917653165231,0.06278586278586279,0.03281302244589281,True
PPM1E,7,960,3,130,4.788461538461538,0.058560349864904916,0.29315476190476186,0.03281302244589281,True
PPM1B,5,962,2,131,4.229007633587786,0.14189119174482176,0.2638253638253638,0.03281302244589281,True
PPL,9,958,0,133,0.0,0.6196569480793772,-0.13883089770354906,0.03281302244589281,True
PPIP5K2,10,957,2,131,1.5763358778625953,0.6356258862370281,0.06311389759665623,0.03281302244589281,True
PPP1R12A,7,960,1,132,1.0454545454545454,1.0,0.005357142857142838,0.03281302244589281,True
PPP1R3F,5,962,1,132,1.571969696969697,0.5235917653165231,0.06278586278586279,0.03281302244589281,True
POP1,7,960,0,133,0.0,0.6022730576469064,-0.13854166666666667,0.03281302244589281,True
POMT2,6,961,2,131,3.16793893129771,0.1942659066216041,0.19701699618452997,0.03281302244589281,True
PMS1,10,957,2,131,1.5763358778625953,0.6356258862370281,0.06311389759665623,0.03281302244589281,True
PMFBP1,11,956,2,131,1.3994910941475827,0.6544728231558026,0.04478889311525294,0.03281302244589281,True
PMEL,5,962,1,132,1.571969696969697,0.5235917653165231,0.06278586278586279,0.03281302244589281,True
PM20D1,5,962,0,133,0.0,1.0,-0.13825363825363826,0.03281302244589281,True
PLXND1,7,960,1,132,1.0454545454545454,1.0,0.005357142857142838,0.03281302244589281,True
PLXNC1,7,960,0,133,0.0,0.6022730576469064,-0.13854166666666667,0.03281302244589281,True
PMS2,7,960,2,131,2.531297709923664,0.2485481293242838,0.14925595238095238,0.03281302244589281,True
PLXNB2,8,959,3,130,3.8261538461538462,0.08448576560363265,0.23944212721584984,0.03281302244589281,True
PLXNA4,15,952,2,131,0.9641808573106283,1.0,-0.004271708683473402,0.03281302244589281,True
PLXNA3,13,954,1,132,0.5189393939393939,1.0,-0.061441702951136906,0.03281302244589281,True
PLXNA2,18,949,5,128,2.4669471153846154,0.0883046630176963,0.14289895796745114,0.03281302244589281,True
PLXNA1,9,958,1,132,0.7821969696969697,1.0,-0.026675945256321054,0.03281302244589281,True
PLVAP,6,961,0,133,0.0,1.0,-0.1383975026014568,0.03281302244589281,True
PLS3,6,961,0,133,0.0,1.0,-0.1383975026014568,0.03281302244589281,True
PLXNB1,6,961,0,133,0.0,1.0,-0.1383975026014568,0.03281302244589281,True
PON1,5,962,0,133,0.0,1.0,-0.13825363825363826,0.03281302244589281,True
PNLIPRP1,5,962,0,133,0.0,1.0,-0.13825363825363826,0.03281302244589281,True
PNN,6,961,2,131,3.16793893129771,0.1942659066216041,0.19701699618452997,0.03281302244589281,True
POM121,7,960,0,133,0.0,0.6022730576469064,-0.13854166666666667,0.03281302244589281,True
POLRMT,5,962,1,132,1.571969696969697,0.5235917653165231,0.06278586278586279,0.03281302244589281,True
POLR3A,7,960,0,133,0.0,0.6022730576469064,-0.13854166666666667,0.03281302244589281,True
POLR2B,5,962,1,132,1.571969696969697,0.5235917653165231,0.06278586278586279,0.03281302244589281,True
POLR2A,5,962,0,133,0.0,1.0,-0.13825363825363826,0.03281302244589281,True
POLR1A,11,956,1,132,0.6242424242424243,1.0,-0.04716622289844047,0.03281302244589281,True
PNMA8A,5,962,0,133,0.0,1.0,-0.13825363825363826,0.03281302244589281,True
POLQ,13,954,2,131,1.142262317834837,0.696681665992265,0.016529592001290117,0.03281302244589281,True
POLG,5,962,1,132,1.571969696969697,0.5235917653165231,0.06278586278586279,0.03281302244589281,True
POLE,10,957,0,133,0.0,0.3735941385672879,-0.13897596656217345,0.03281302244589281,True
POLA1,11,956,0,133,0.0,0.3780510816804445,-0.13912133891213388,0.03281302244589281,True
POGZ,13,954,0,133,0.0,0.23463547986190103,-0.13941299790356393,0.03281302244589281,True
POF1B,5,962,1,132,1.571969696969697,0.5235917653165231,0.06278586278586279,0.03281302244589281,True
PNPT1,7,960,3,130,4.788461538461538,0.058560349864904916,0.29315476190476186,0.03281302244589281,True
POLN,5,962,0,133,0.0,1.0,-0.13825363825363826,0.03281302244589281,True
PPP1R9A,11,956,3,130,2.3826923076923077,0.1834411064790646,0.13674400912894635,0.03281302244589281,True
PPP2CA,5,962,1,132,1.571969696969697,0.5235917653165231,0.06278586278586279,0.03281302244589281,True
PPP2R3A,8,959,1,132,0.895021645021645,1.0,-0.012643378519290926,0.03281302244589281,True
PROX2,6,961,0,133,0.0,1.0,-0.1383975026014568,0.03281302244589281,True
PROX1,11,956,1,132,0.6242424242424243,1.0,-0.04716622289844047,0.03281302244589281,True
PROSER1,6,961,0,133,0.0,1.0,-0.1383975026014568,0.03281302244589281,True
PROS1,8,959,1,132,0.895021645021645,1.0,-0.012643378519290926,0.03281302244589281,True
PROM2,5,962,2,131,4.229007633587786,0.14189119174482176,0.2638253638253638,0.03281302244589281,True
PROM1,5,962,1,132,1.571969696969697,0.5235917653165231,0.06278586278586279,0.03281302244589281,True
PRPF19,5,962,2,131,4.229007633587786,0.14189119174482176,0.2638253638253638,0.03281302244589281,True
PRMT9,6,961,1,132,1.256060606060606,0.5894569370555072,0.029309746791536584,0.03281302244589281,True
PRMT3,5,962,1,132,1.571969696969697,0.5235917653165231,0.06278586278586279,0.03281302244589281,True
PRKX,5,962,2,131,4.229007633587786,0.14189119174482176,0.2638253638253638,0.03281302244589281,True
PRKG2,10,957,1,132,0.6944444444444444,1.0,-0.03793103448275861,0.03281302244589281,True
PRKG1,6,961,1,132,1.256060606060606,0.5894569370555072,0.029309746791536584,0.03281302244589281,True
PRKDC,27,940,5,128,1.4417613636363635,0.4039698151634916,0.049014972419227726,0.03281302244589281,True
PRKD3,7,960,1,132,1.0454545454545454,1.0,0.005357142857142838,0.03281302244589281,True
PRMT5,6,961,2,131,3.16793893129771,0.1942659066216041,0.19701699618452997,0.03281302244589281,True
PRKD2,5,962,1,132,1.571969696969697,0.5235917653165231,0.06278586278586279,0.03281302244589281,True
PRPF3,6,961,3,130,6.392307692307693,0.03714176199125719,0.3647242455775234,0.03281302244589281,True
PRPF39,5,962,0,133,0.0,1.0,-0.13825363825363826,0.03281302244589281,True
PRUNE1,5,962,2,131,4.229007633587786,0.14189119174482176,0.2638253638253638,0.03281302244589281,True
PRTG,11,956,0,133,0.0,0.3780510816804445,-0.13912133891213388,0.03281302244589281,True
PRSS12,6,961,1,132,1.256060606060606,0.5894569370555072,0.029309746791536584,0.03281302244589281,True
PRRX1,7,960,0,133,0.0,0.6022730576469064,-0.13854166666666667,0.03281302244589281,True
PRRC2C,14,953,2,131,1.0458015267175573,1.0,0.005396492280017984,0.03281302244589281,True
PRRC2B,12,955,2,131,1.2580152671755724,0.6751071962119222,0.02949389179755671,0.03281302244589281,True
PRPF38B,6,961,0,133,0.0,1.0,-0.1383975026014568,0.03281302244589281,True
PRRC2A,5,962,1,132,1.571969696969697,0.5235917653165231,0.06278586278586279,0.03281302244589281,True
PRR14,7,960,4,129,8.589147286821705,0.008583644826393578,0.4370535714285714,0.03281302244589281,True
PRR12,5,962,1,132,1.571969696969697,0.5235917653165231,0.06278586278586279,0.03281302244589281,True
PRPF8,10,957,0,133,0.0,0.3735941385672879,-0.13897596656217345,0.03281302244589281,True
PRPF6,6,961,0,133,0.0,1.0,-0.1383975026014568,0.03281302244589281,True
PRPF4B,10,957,2,131,1.5763358778625953,0.6356258862370281,0.06311389759665623,0.03281302244589281,True
PRPF40A,5,962,0,133,0.0,1.0,-0.13825363825363826,0.03281302244589281,True
PRR27,5,962,1,132,1.571969696969697,0.5235917653165231,0.06278586278586279,0.03281302244589281,True
PRKD1,8,959,1,132,0.895021645021645,1.0,-0.012643378519290926,0.03281302244589281,True
PRKCQ,7,960,2,131,2.531297709923664,0.2485481293242838,0.14925595238095238,0.03281302244589281,True
PRKCE,6,961,0,133,0.0,1.0,-0.1383975026014568,0.03281302244589281,True
PRAMEF15,5,962,0,133,0.0,1.0,-0.13825363825363826,0.03281302244589281,True
PRAMEF14,5,962,2,131,4.229007633587786,0.14189119174482176,0.2638253638253638,0.03281302244589281,True
PRAM1,6,961,1,132,1.256060606060606,0.5894569370555072,0.029309746791536584,0.03281302244589281,True
PRAG1,5,962,1,132,1.571969696969697,0.5235917653165231,0.06278586278586279,0.03281302244589281,True
PPRC1,13,954,4,129,2.842377260981912,0.09043208451525082,0.1724721819061442,0.03281302244589281,True
PPP6R3,5,962,1,132,1.571969696969697,0.5235917653165231,0.06278586278586279,0.03281302244589281,True
PRAMEF2,7,960,1,132,1.0454545454545454,1.0,0.005357142857142838,0.03281302244589281,True
PPP4R4,8,959,4,129,6.434108527131783,0.015351323633691986,0.3654848800834202,0.03281302244589281,True
PPP4R3A,8,959,1,132,0.895021645021645,1.0,-0.012643378519290926,0.03281302244589281,True
PPP3CA,5,962,1,132,1.571969696969697,0.5235917653165231,0.06278586278586279,0.03281302244589281,True
PPP2R5D,5,962,0,133,0.0,1.0,-0.13825363825363826,0.03281302244589281,True
PPP2R5C,6,961,1,132,1.256060606060606,0.5894569370555072,0.029309746791536584,0.03281302244589281,True
PPP2R5B,5,962,3,130,9.6,0.020628915664281298,0.46486486486486484,0.03281302244589281,True
PPP2R3C,8,959,1,132,0.895021645021645,1.0,-0.012643378519290926,0.03281302244589281,True
PPP4R3B,8,959,1,132,0.895021645021645,1.0,-0.012643378519290926,0.03281302244589281,True
PRAMEF4,7,960,2,131,2.531297709923664,0.2485481293242838,0.14925595238095238,0.03281302244589281,True
PRB2,6,961,1,132,1.256060606060606,0.5894569370555072,0.029309746791536584,0.03281302244589281,True
PRDM1,9,958,2,131,1.8037077426390404,0.35719799997040946,0.08547900719090698,0.03281302244589281,True
PRKCB,7,960,1,132,1.0454545454545454,1.0,0.005357142857142838,0.03281302244589281,True
PRKCA,5,962,0,133,0.0,1.0,-0.13825363825363826,0.03281302244589281,True
PRKAR1A,5,962,1,132,1.571969696969697,0.5235917653165231,0.06278586278586279,0.03281302244589281,True
PRKACA,5,962,0,133,0.0,1.0,-0.13825363825363826,0.03281302244589281,True
PRKAA2,5,962,0,133,0.0,1.0,-0.13825363825363826,0.03281302244589281,True
PRICKLE2,7,960,0,133,0.0,0.6022730576469064,-0.13854166666666667,0.03281302244589281,True
